score_i-1,score_i,score_i+1,purity_i-1,purity_i,purity_i+1,review_score,review_purity,Sentiment
0.0,0.0,1.98710525798e-05,0.0,0.0,8.27960524159e-07,-0.705688391383,-0.00363781637384,0
0.0,1.98710525798e-05,0.0,0.0,8.27960524159e-07,0.0,-0.705688391383,-0.00363781637384,0
1.98710525798e-05,0.0,0.0,8.27960524159e-07,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.00307258626771,0.0,0.0,1.39031052837e-05,-0.705688391383,-0.00363781637384,0
0.0,0.00307258626771,0.00307258626771,0.0,1.39031052837e-05,1.56764605495e-05,-0.705688391383,-0.00363781637384,0
0.00307258626771,0.00307258626771,0.0,1.39031052837e-05,1.56764605495e-05,0.0,-0.705688391383,-0.00363781637384,-1
0.00307258626771,0.0,0.00307754636369,1.56764605495e-05,0.0,0.000109912370132,-0.705688391383,-0.00363781637384,-1
0.0,0.00307754636369,0.0,0.0,0.000109912370132,0.0,-0.705688391383,-0.00363781637384,-1
0.00307754636369,0.0,0.0,0.000109912370132,0.0,0.0,-0.705688391383,-0.00363781637384,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,-1
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.00307258626771,5.20777333509e-05,0
0.0,0.0,0.00307258626771,0.0,0.0,5.20777333509e-05,0.00307258626771,5.20777333509e-05,1
0.0,0.00307258626771,0.0,0.0,5.20777333509e-05,0.0,0.00307258626771,5.20777333509e-05,0
0.00307258626771,0.0,0.0,5.20777333509e-05,0.0,0.0,0.00307258626771,5.20777333509e-05,1
0.0,0.0,0.0,0.0,0.0,0.0,0.00307258626771,5.20777333509e-05,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.00307258626771,5.20777333509e-05,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.00307258626771,5.20777333509e-05,1
0.0,-0.0353763140741,0.0,0.0,-0.000154481720847,0.0,-0.190089716954,-0.00103767897356,1
-0.0353763140741,0.0,3.13819515106e-05,-0.000154481720847,0.0,3.69199429536e-07,-0.190089716954,-0.00103767897356,1
0.0,3.13819515106e-05,-0.170667467552,0.0,3.69199429536e-07,-0.00116895525721,-0.190089716954,-0.00103767897356,-1
3.13819515106e-05,-0.170667467552,0.00307258626771,3.69199429536e-07,-0.00116895525721,2.84498728491e-05,-0.190089716954,-0.00103767897356,0
-0.170667467552,0.00307258626771,4.96009598512e-06,-0.00116895525721,2.84498728491e-05,3.62050801833e-08,-0.190089716954,-0.00103767897356,0
0.00307258626771,4.96009598512e-06,0.0128451363568,2.84498728491e-05,3.62050801833e-08,0.000256902727137,-0.190089716954,-0.00103767897356,0
4.96009598512e-06,0.0128451363568,0.0,3.62050801833e-08,0.000256902727137,0.0,-0.190089716954,-0.00103767897356,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.216718063863,-0.00136565580847,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.216718063863,-0.00136565580847,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.216718063863,-0.00136565580847,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.216718063863,-0.00136565580847,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.216718063863,-0.00136565580847,0
0.0,0.0,-0.0742943691504,0.0,0.0,-0.000458607216977,-0.216718063863,-0.00136565580847,1
0.0,-0.0742943691504,0.0,0.0,-0.000458607216977,0.0,-0.216718063863,-0.00136565580847,1
-0.0742943691504,0.0,0.0,-0.000458607216977,0.0,0.0,-0.216718063863,-0.00136565580847,0
